date,rb,hc
2021-07-13,4946,5785
2021-07-14,4950,5960
2021-07-15,5050,5906
2021-07-16,5503,5898
2021-07-19,5484,6000
2021-07-20,5515,5939
2021-07-21,5511,5955
2021-07-22,5598,5910
2021-07-23,5597,5933
2021-07-26,5635,5984
2021-07-27,5595,5882
2021-07-28,5655,5870
2021-07-29,5740,6057
2021-07-30,5700,6130
2021-08-02,5470,6120
2021-08-03,5340,5630
2021-08-04,5447,5760
2021-08-05,5445,5760
2021-08-06,5380,5760
2021-08-09,5323,5800
2021-08-10,5276,5763
2021-08-11,5395,5763
2021-08-12,5350,5763
2021-08-13,5310,5763
2021-08-16,5300,5760
2021-08-17,5212,5740
2021-08-18,5027,5618
2021-08-19,4939,5560
2021-08-20,5020,5605
2021-08-23,5087,5637
2021-08-24,5143,5730
2021-08-25,5123,5719
2021-08-26,5095,5592
2021-08-27,5108,5693
2021-08-30,5203,5775
2021-08-31,5299,5778
2021-09-01,5182,5670
2021-09-02,5290,5780
2021-09-03,5305,5900
2021-09-06,5340,5880
2021-09-07,5420,5880
2021-09-08,5401,5850
2021-09-09,5575,5850
2021-09-10,5560,5850
2021-09-13,5600,5850
2021-09-14,5600,5850
2021-09-15,5500,5850
2021-09-16,5652,5825
2021-09-17,5750,5780
2021-09-22,5935,5815
2021-09-23,5846,5742
2021-09-24,5768,5677
2021-09-27,5833,5707
2021-09-28,5795,5762
2021-09-29,5786,5771
2021-09-30,5866,5855
2021-10-08,5935,5890
2021-10-11,5910,5890
2021-10-12,5770,5738
2021-10-13,5625,5730
2021-10-14,5670,5740
2021-10-15,5780,5850
2021-10-18,5573,5816
2021-10-19,5680,5820
2021-10-20,5507,5717
2021-10-21,5127,5457
2021-10-22,4950,5490
2021-10-25,4896,5412
2021-10-26,4900,5400
2021-10-27,4699,5220
2021-10-28,4787,5150
2021-10-29,4337,5235
2021-11-01,4600,5213
2021-11-02,4400,5080
2021-11-03,4550,5020
2021-11-04,4400,5020
2021-11-05,4490,5020
2021-11-08,4520,5020
2021-11-09,4480,4800
2021-11-10,4344,4650
2021-11-11,4490,4500
2021-11-12,4350,4860
2021-11-15,4350,4720
2021-11-16,4307,4623
2021-11-17,4328,4618
2021-11-18,4267,4550
2021-11-19,4290,4655
2021-11-22,4306,4619
2021-11-23,4282,4662
2021-11-24,4367,4751
2021-11-25,4398,4788
2021-11-26,4262,4684
2021-11-29,4190,4670
2021-11-30,4049,4651
2021-12-01,4290,4790
2021-12-02,4360,4715
2021-12-03,4301,4840
2021-12-06,4360,4780
2021-12-07,4380,4780
2021-12-08,4380,5082
2021-12-09,4300,5000
2021-12-10,4300,4950
2021-12-13,4303,4950
2021-12-14,4303,4950
2021-12-15,4303,4950
2021-12-16,4704,4868
2021-12-17,4671,4826
2021-12-20,4640,4788
2021-12-21,4678,4768
2021-12-22,4645,4760
2021-12-23,4673,4785
2021-12-24,4698,4795
2021-12-27,4540,4666
2021-12-28,4559,4715
2021-12-29,4567,4734
2021-12-30,4535,4722
2021-12-31,4550,4700
2022-01-04,4595,4730
2022-01-05,4630,4780
2022-01-06,4675,4820
2022-01-07,4620,4820
2022-01-10,4510,4806
2022-01-11,4622,4855
2022-01-12,4635,4869
2022-01-13,4635,4880
2022-01-14,4695,4846
2022-01-17,4650,4899
2022-01-18,4635,4827
2022-01-19,4740,4919
2022-01-20,4733,4920
2022-01-21,4722,4918
2022-01-24,4711,4878
2022-01-25,4742,4930
2022-01-26,4738,4948
2022-01-27,4700,4900
2022-01-28,5051,4900
2022-02-07,4800,5015
2022-02-08,4850,5100
2022-02-09,4850,5060
2022-02-10,4960,5080
2022-02-11,4999,5100
2022-02-14,4800,5088
2022-02-15,4700,4900
2022-02-16,4865,4989
2022-02-17,4738,4901
2022-02-18,4813,4959
2022-02-21,4865,5000
2022-02-22,4806,4923
2022-02-23,4829,4985
2022-02-24,4695,4885
2022-02-25,4643,4865
2022-02-28,4830,5130
2022-03-01,4830,5100
2022-03-02,4850,5140
2022-03-03,4977,5298
2022-03-04,4985,5285
2022-03-07,5090,5400
2022-03-08,5085,5337
2022-03-09,4820,5208
2022-03-10,4990,5128
2022-03-11,4900,5158
2022-03-14,4889,5030
2022-03-15,4889,5023
2022-03-16,4920,5072
2022-03-17,4908,5037
2022-03-18,4948,5125
2022-03-21,4931,5129
2022-03-22,4933,5179
2022-03-23,4950,5180
2022-03-24,4940,5148
2022-03-25,4929,5267
2022-03-28,5058,5303
2022-03-29,5048,5254
2022-03-30,5089,5270
2022-03-31,5109,5106
2022-04-01,5115,5349

